trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-75.06870272745219,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-87.77996777073017,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-81.73868473943988,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-45.38976334256802,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-55.74586953673069,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,10,-8.533249285890683,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",20,8,-101.05617082246454,"{0: 5, 1: 0, 2: 5, 3: 1, 4: 1}",1
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",25,0,-150.04480978687982,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,0,-170.6589888745685,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-16.353077745686367,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",25,0,-145.92886192598502,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,0,-51.72437487872707,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",30,0,-168.86869554342763,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",25,0,-90.53928739211993,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",25,0,-34.885547741026514,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",20,13,-8.21361817347103,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",20,6,-74.07348818388716,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 2}",1
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,0,-88.294186344302,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,0,-144.1744322595228,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",20,0,-87.33392927783106,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",20,0,-60.72794223880963,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",20,16,10.064231425875438,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",30,0,-92.92050567870443,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",35,0,-199.78307182894355,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 5}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",30,0,-78.71644686105934,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",25,15,-4.292715292321325,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",30,15,-150.5225508076959,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 3}",1
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,0,-92.16276656549461,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",20,12,14.823864584267772,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,0,-147.31393311678835,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,10,-5.314179525739087,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",25,6,13.114760386392609,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",25,0,-18.377062581370193,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.631283645506926}",35,0,-180.02807558746306,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,0,-39.89331341392361,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",20,5,11.890451941067658,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",25,0,-117.90618710045085,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
